agentA,agentB,winner,turns,initial_unit_count_team1,initial_unit_count_team2,alive1,alive2,max_hp_team1,max_hp_team2,hp1,hp2
NEATAgent,MCTS_fast,,30,4,5,1,4,370,555,8,124
NEATAgent,MCTS_default,,30,4,4,1,2,420,325,11,35
NEATAgent,Minimax_default,,30,4,4,3,1,370,420,127,1
NEATAgent,MCTS_deep,1,28,5,4,4,0.1,550,425,235,1
MCTS_default,NEATAgent,,30,4,4,1,1,370,425,58,40
MCTS_default,MCTS_fast,,30,4,4,1,1,325,420,6,28
NEATAgent,Minimax_wide,1,11,5,3,5,0.1,555,300,418,1
MCTS_default,MCTS_deep,,30,4,4,2,1,350,370,41,49
MCTS_default,Minimax_default,,30,4,4,1,3,405,410,4,97
MCTS_fast,NEATAgent,2,22,3,4,0.1,2,270,280,1,72
MCTS_fast,MCTS_default,1,12,4,3,4,0.1,435,270,288,1
NEATAgent,Minimax_deep,,30,4,4,3,1,370,400,69,1
MCTS_fast,MCTS_deep,1,29,4,4,2,0.1,415,415,75,1
MCTS_default,Minimax_deep,2,18,4,4,0.1,4,355,365,1,207
MCTS_fast,Minimax_default,2,15,3,4,0.1,4,270,405,1,213
MCTS_default,Minimax_wide,1,21,4,4,3,0.1,445,425,156,1
MCTS_deep,NEATAgent,2,15,4,4,0.1,3,355,370,1,166
MCTS_deep,MCTS_fast,,30,4,4,1,3,395,395,7,156
MCTS_deep,MCTS_default,,30,4,4,1,4,420,415,19,237
MCTS_fast,Minimax_deep,1,16,4,3,3,0.1,430,300,210,1
MCTS_deep,Minimax_default,2,24,4,4,0.1,3,355,395,1,170
MCTS_fast,Minimax_wide,,30,4,4,1,3,280,420,4,71
Minimax_default,NEATAgent,,30,4,4,1,1,365,415,7,18
Minimax_default,MCTS_default,1,9,4,3,4,0.1,410,270,334,1
Minimax_default,MCTS_fast,,30,5,4,2,2,555,355,75,49
Minimax_default,MCTS_deep,2,30,4,4,0.1,2,415,410,1,107
MCTS_deep,Minimax_wide,,30,4,4,1,3,370,370,17,103
MCTS_deep,Minimax_deep,2,25,4,4,0.1,3,425,280,1,149
Minimax_default,Minimax_deep,2,25,4,4,0.1,2,415,370,1,33
Minimax_default,Minimax_wide,2,20,4,5,0.1,5,425,565,1,309
Minimax_deep,NEATAgent,2,29,4,5,0.1,4,425,560,1,228
Minimax_deep,MCTS_default,,30,4,4,2,2,395,415,65,116
Minimax_deep,MCTS_fast,,30,4,4,2,1,395,410,74,2
Minimax_deep,MCTS_deep,,30,4,4,2,1,400,395,52,34
Minimax_wide,NEATAgent,,30,4,4,1,4,435,325,1,188
Minimax_wide,MCTS_default,1,24,4,4,3,0.1,365,420,146,1
Minimax_wide,MCTS_fast,1,12,4,3,4,0.1,395,300,228,1
Minimax_deep,Minimax_wide,1,28,4,4,4,0.1,325,355,112,1
Minimax_deep,Minimax_default,,30,3,4,1,4,270,405,2,221
Minimax_wide,Minimax_default,,30,4,4,1,2,425,425,5,45
Minimax_wide,MCTS_deep,1,23,4,4,4,0.1,425,325,148,1
Minimax_wide,Minimax_deep,2,26,4,4,0.1,2,355,395,1,63
