agentA,agentB,winner,turns,avg_turn_time_A,avg_turn_time_B,initial_unit_count_team1,initial_unit_count_team2,alive1,alive2,max_hp_team1,max_hp_team2,hp1,hp2
NEATAgent,MCTS_default,1,22,0.061462911590958604,0.24265654340904969,4,4,4,0.1,405,425,158,1
NEATAgent,MCTS_fast,,30,0.06270403053340487,0.1626495484665914,4,4,3,1,410,370,161,2
NEATAgent,MCTS_fast,,30,0.04346854489992135,0.19067325170002125,4,4,1,2,280,355,1,99
NEATAgent,MCTS_default,1,24,0.06312996033341278,0.2529877845416119,4,4,4,0.1,410,440,206,1
NEATAgent,MCTS_deep,1,18,0.12168244894443585,0.39922919149997443,4,3,4,0.1,420,300,224,1
NEATAgent,MCTS_deep,,30,0.10004711353321909,0.4042006056000294,5,4,5,1,560,320,219,3
NEATAgent,Minimax_default,2,24,0.04351534804159959,1.1704648542499854,4,4,0.1,1,325,400,1,41
NEATAgent,Minimax_default,,30,0.028139078633284954,1.1643023504666417,4,4,1,2,425,420,2,43
NEATAgent,Minimax_deep,2,29,0.03933220255171834,2.6173011387241347,4,4,0.1,1,410,355,1,46
MCTS_default,NEATAgent,,30,0.24041964256672751,0.05987155720013106,4,4,1,2,430,435,42,73
MCTS_default,NEATAgent,2,29,0.2448486833102614,0.11534808921438915,4,5,0.1,5,420,560,1,237
NEATAgent,Minimax_wide,,30,0.03493526796667842,2.7906275943000156,4,4,2,2,355,420,13,54
MCTS_default,MCTS_fast,,30,0.2186657330999272,0.19053260673335898,4,4,2,2,420,420,45,59
MCTS_default,MCTS_fast,,30,0.24333189603339633,0.2072418496333133,4,4,1,3,365,410,16,116
NEATAgent,Minimax_wide,,30,0.055815980566634,3.300640454666821,5,4,2,1,560,360,105,17
MCTS_default,MCTS_deep,,30,0.2379823108001195,0.3851978003666773,4,4,3,1,365,425,196,1
MCTS_default,MCTS_deep,,30,0.3306908804666818,0.41845836613329085,5,4,5,1,565,420,321,11
MCTS_default,Minimax_default,,30,0.27648206353323984,1.9254520422666246,5,4,2,4,570,405,60,105
NEATAgent,Minimax_deep,,30,0.052947457566763965,6.477265398266687,4,5,3,4,395,550,63,210
MCTS_default,Minimax_default,,30,0.24401824720007426,1.8771105914666502,4,4,2,2,420,415,30,93
MCTS_default,Minimax_deep,,30,0.2301222392666811,3.214189123033369,4,4,2,1,370,440,93,74
MCTS_fast,NEATAgent,,30,0.19634068380000827,0.06237657906664632,4,4,3,1,415,420,68,11
MCTS_fast,NEATAgent,,30,0.18985692523338002,0.04417134093325027,4,4,1,2,440,395,24,128
MCTS_default,Minimax_wide,,30,0.21165575939997627,2.257904284266715,4,4,1,2,400,370,30,100
MCTS_fast,MCTS_default,,30,0.18842034786663742,0.24648415050002465,4,4,2,2,360,410,28,52
MCTS_fast,MCTS_default,,30,0.2108084929001052,0.2528507102334819,4,4,2,3,420,435,57,116
MCTS_fast,MCTS_deep,,30,0.20099762093332174,0.38727269480001875,4,4,1,2,350,400,67,44
MCTS_default,Minimax_wide,,30,0.23919601003326535,2.982946874166646,4,4,1,2,370,350,8,105
MCTS_fast,MCTS_deep,2,28,0.1981504146428636,0.37937461796304384,4,4,0.1,4,430,410,1,228
MCTS_fast,Minimax_default,2,19,0.18621947947385228,1.6091894957778297,4,4,0.1,4,355,325,1,198
MCTS_fast,Minimax_default,2,27,0.1987101421481283,1.3015678749999937,4,4,0.1,3,410,365,1,128
MCTS_default,Minimax_deep,,30,0.24427734176651938,5.651119726666699,4,4,1,4,400,365,3,125
MCTS_fast,Minimax_wide,,30,0.19630460119997223,3.260429885266755,4,4,1,3,390,320,5,122
MCTS_fast,Minimax_deep,,30,0.19770732446665232,3.895032298766728,4,4,2,2,355,425,39,23
MCTS_deep,NEATAgent,2,20,0.4109016095498646,0.08387048750000758,4,4,0.1,4,370,365,1,180
MCTS_fast,Minimax_deep,2,29,0.19431504051728302,5.187483641107162,4,4,0.1,4,400,405,1,209
MCTS_deep,NEATAgent,2,18,0.3905370761667655,0.07778674082349907,4,4,0.1,4,390,370,1,179
MCTS_fast,Minimax_wide,2,28,0.21382031514290897,2.9220532091112545,4,4,0.1,4,415,360,1,136
MCTS_deep,MCTS_fast,2,14,0.4059837404287724,0.24047298215387294,3,4,0.1,4,300,325,1,266
MCTS_deep,MCTS_default,,30,0.4539936255999843,0.24149664750002559,4,4,2,3,425,410,84,96
MCTS_deep,MCTS_default,,30,0.37472709563326134,0.232679607333345,4,4,1,3,390,355,16,148
MCTS_deep,MCTS_fast,,30,0.3809403045334572,0.2164839992998774,4,4,1,4,435,415,5,155
MCTS_deep,Minimax_default,2,17,0.34138897417639835,1.3335964041250463,4,4,0.1,3,325,370,1,194
MCTS_deep,Minimax_default,2,15,0.36022530720001666,1.5781799895000534,4,4,0.1,3,355,280,1,143
MCTS_deep,Minimax_wide,2,11,0.4179751511817978,3.2518579268000396,3,4,0.1,4,300,370,1,278
MCTS_deep,Minimax_deep,,30,0.3186775557666806,2.107861823333375,4,4,1,1,350,355,18,41
MCTS_deep,Minimax_wide,2,16,0.40527397981253444,3.4069591893333078,3,4,0.1,4,300,390,1,229
Minimax_default,NEATAgent,1,21,1.9892312338571563,0.07586191766659751,4,4,3,0.1,440,420,83,1
Minimax_default,MCTS_default,1,17,1.6869840523529145,0.24038960241175708,4,4,4,0.1,355,400,191,1
Minimax_default,NEATAgent,,30,1.5939062205000785,0.07880274273335695,4,4,1,4,440,415,1,144
MCTS_deep,Minimax_deep,,30,0.3293716945333472,4.375867568700142,4,4,1,4,325,365,4,188
Minimax_default,MCTS_default,,30,1.3337559137000123,0.22065486953330643,4,4,4,1,415,400,115,5
Minimax_default,MCTS_fast,,30,2.0341884336666833,0.2252287244999631,4,5,2,2,325,565,56,95
Minimax_default,MCTS_fast,,30,1.8039716102999894,0.22295203836665678,4,4,3,2,435,370,39,93
Minimax_default,MCTS_deep,,30,1.662960158199985,0.3818705637999604,4,4,2,3,405,390,30,78
Minimax_default,MCTS_deep,,30,1.381500758533275,0.3873523765666808,4,4,3,1,365,370,106,4
Minimax_default,Minimax_deep,1,12,1.5085139842501576,2.9780874952499894,4,3,4,0.1,325,300,135,1
Minimax_default,Minimax_wide,2,22,1.5336158440452643,2.2589349673333863,4,4,0.1,3,400,360,1,126
Minimax_default,Minimax_wide,2,20,2.480652771199948,3.55320074952636,4,5,0.1,5,400,560,1,238
Minimax_default,Minimax_deep,,30,1.449302331366683,3.8555005968332807,4,4,2,2,400,280,57,51
Minimax_deep,NEATAgent,2,29,3.62272055093098,0.09118170503575129,4,4,0.1,2,420,425,1,48
Minimax_deep,MCTS_default,,30,3.920006508733392,0.22703654656667518,5,4,4,1,565,445,229,2
Minimax_deep,NEATAgent,,30,7.429834718033302,0.02333046373335795,4,4,4,1,320,355,123,1
Minimax_deep,MCTS_default,,30,5.220155563666716,0.2309836154999478,4,4,3,1,365,370,94,5
Minimax_deep,MCTS_fast,,30,5.114412646499992,0.2471002264668035,4,5,2,2,350,560,39,136
Minimax_deep,MCTS_deep,1,18,3.751019672722527,0.3584678339999401,4,4,3,0.1,395,325,174,1
Minimax_deep,MCTS_fast,,30,3.311374503700002,0.20634130663326383,4,4,1,3,395,370,9,103
Minimax_deep,MCTS_deep,,30,4.358858919833347,0.37409487683326004,4,4,4,1,410,355,125,2
Minimax_deep,Minimax_default,2,24,4.46711439204167,1.9328472136519692,4,4,0.1,3,425,355,1,151
Minimax_deep,Minimax_default,,30,4.127679023333258,1.6912181567001123,4,4,2,2,410,415,88,65
Minimax_wide,NEATAgent,,30,2.4289590394332965,0.03273813630015259,4,4,1,1,420,420,28,35
Minimax_deep,Minimax_wide,,30,4.682655125133351,2.7716194140330725,4,3,4,1,410,270,292,3
Minimax_wide,MCTS_default,2,12,4.192760775416748,0.30281204699994385,3,4,0.1,4,270,325,1,209
Minimax_deep,Minimax_wide,,30,4.5614267741333,3.4518482337333505,4,4,1,2,420,350,5,115
Minimax_wide,NEATAgent,,30,3.8979379145999093,0.05777947396679035,4,4,2,1,410,350,12,47
Minimax_wide,MCTS_default,,30,2.8559566804332763,0.25064616989990707,4,4,1,4,425,405,1,214
Minimax_wide,MCTS_fast,,30,3.0118234569999913,0.19869737206669622,5,4,4,1,560,360,144,46
Minimax_wide,MCTS_deep,,30,3.3641306849998727,0.37053156166663637,4,4,2,2,410,355,65,58
Minimax_wide,MCTS_fast,,30,4.23027010746664,0.24770974593332842,4,5,2,4,390,570,30,154
Minimax_wide,MCTS_deep,,30,3.8377386030334795,0.4065477582669094,4,4,2,3,440,410,57,150
Minimax_wide,Minimax_default,2,28,2.6899326377855295,1.649677887814741,4,4,0.1,3,435,395,1,148
Minimax_wide,Minimax_default,,30,2.9167739978998117,1.1534170591667134,4,4,1,3,410,370,4,138
Minimax_wide,Minimax_deep,2,13,3.0352153022307062,5.651637777333538,3,4,0.1,3,270,355,1,218
Minimax_wide,Minimax_deep,,30,2.800661177733491,3.7608394743998965,4,4,3,2,420,425,86,11
