agentA,agentB,winner,turns,avg_turn_time_A,avg_turn_time_B,initial_unit_count_team1,initial_unit_count_team2,alive1,alive2,max_hp_team1,max_hp_team2,hp1,hp2
MCTS_default,NEATAgent,,30,2.2249324533346226,0.12224401333369314,4,5,2,4,395,565,47,239
MCTS_default,MCTS_fast,,30,2.2549836633329203,0.8474069766676015,5,4,4,2,565,410,178,48
MCTS_default,Minimax_default,,30,2.053561593334598,2.3562380866685997,4,4,2,2,370,355,40,41
MCTS_default,MCTS_deep,,30,2.090918563331555,4.17349874000162,4,4,2,3,435,410,61,161
MCTS_fast,MCTS_default,,30,0.861042549998092,2.189176180000747,4,4,3,4,405,370,101,159
MCTS_fast,NEATAgent,2,16,0.8312327999992704,0.11813453125068918,4,4,0,4,355,350,0,185
MCTS_fast,Minimax_default,,30,0.8101938566668347,1.916727790000247,4,4,1,2,390,395,16,93
MCTS_default,Minimax_deep,,30,1.983473773333632,6.3844229866677775,4,4,1,3,390,280,2,125
MCTS_default,Minimax_wide,,30,2.1940039133328053,5.430199369999658,5,4,4,1,560,390,220,28
MCTS_fast,MCTS_deep,,30,0.8562778566668082,4.252274483334137,4,4,2,2,430,425,120,76
MCTS_fast,Minimax_wide,,30,0.8218666433317897,4.311993716666863,4,4,3,1,370,425,101,2
MCTS_deep,MCTS_fast,,30,4.391737533332586,0.8575007666659076,4,4,2,2,360,395,27,86
MCTS_deep,MCTS_default,,30,4.284963276667986,2.157795923334682,4,4,2,3,420,415,54,147
MCTS_fast,Minimax_deep,,30,0.8970408033346757,5.937442666666175,4,4,3,3,445,390,91,100
MCTS_deep,NEATAgent,,30,4.489751883333763,0.0973468333327522,5,4,3,3,570,370,218,137
NEATAgent,MCTS_default,,30,0.03192863333339725,2.0788141033330856,3,4,1,4,300,420,2,207
MCTS_deep,Minimax_default,,30,4.172776266666188,2.4255697633338666,4,4,1,3,430,430,77,101
NEATAgent,MCTS_fast,,30,0.05584485999812993,0.7993023033321758,4,4,2,1,370,410,61,3
NEATAgent,MCTS_deep,1,16,0.10432446875165624,4.240826049996031,4,3,3,0,280,300,112,0
MCTS_deep,Minimax_wide,,30,4.139049339999716,3.965283476667052,4,4,1,3,320,370,4,139
NEATAgent,Minimax_default,,30,0.08291228999975525,2.9340445533331754,4,4,2,2,420,410,98,58
MCTS_deep,Minimax_deep,,30,4.152047503332627,6.12236308666761,4,4,1,3,420,360,1,184
Minimax_default,MCTS_fast,,30,2.133931940000427,0.7754251866664466,4,3,4,1,440,270,214,7
NEATAgent,Minimax_wide,,30,0.056329409999307245,5.195035806665449,3,4,1,4,300,390,45,161
NEATAgent,Minimax_deep,,30,0.06472490333107998,5.353369499999584,4,4,2,1,415,425,87,2
Minimax_default,MCTS_default,,30,3.075116083332493,2.179806783335031,4,5,1,4,425,570,5,252
Minimax_default,NEATAgent,,30,3.144462433332713,0.1277533566666534,4,4,3,2,365,355,98,121
Minimax_default,MCTS_deep,,30,2.1040226099993258,4.049878443333243,4,4,2,1,365,365,98,17
Minimax_default,Minimax_wide,,30,1.4280224566668038,4.352558149998368,4,3,4,1,410,300,229,1
Minimax_default,Minimax_deep,,30,2.300794589998259,4.710880486666186,4,3,2,1,350,300,101,4
Minimax_deep,MCTS_default,,30,5.855357536665784,2.1685474399996263,4,4,1,3,395,435,9,120
Minimax_deep,MCTS_fast,,30,5.626962036665645,0.831074250000044,5,4,2,2,560,320,90,66
Minimax_deep,NEATAgent,,30,5.214433533332097,0.07597309000072225,4,4,1,1,420,425,35,33
Minimax_deep,MCTS_deep,,30,5.91712198999788,4.3194018166672326,4,4,2,2,410,420,95,50
Minimax_wide,MCTS_default,,30,4.367535690000417,1.9919234266669568,4,4,2,2,400,390,47,81
Minimax_deep,Minimax_default,,30,5.755369510000552,2.2806608266657955,4,3,3,1,365,270,181,2
Minimax_wide,MCTS_fast,,30,5.797411299999415,0.8874183066664652,4,4,1,2,420,430,63,71
Minimax_deep,Minimax_wide,,30,7.053420266666702,4.8587892699986694,4,4,3,1,395,400,116,2
Minimax_wide,NEATAgent,,30,6.200264040000912,0.12032577333399483,4,4,3,3,365,425,132,104
Minimax_wide,MCTS_deep,,30,6.385717166664835,4.397624313334139,4,4,3,2,405,420,87,57
Minimax_wide,Minimax_default,,30,8.167998493332318,3.0570439366667417,4,4,3,3,410,425,142,156
Minimax_wide,Minimax_deep,,30,5.529104230000424,7.590721723334476,4,4,1,3,365,350,2,151
